"Spp","Tag","Sampling_tree","Region","Num"
"Acari","A-bay-mid","Bay","Mid",10
"Acari","A-loblolly-mid","Loblolly","Mid",2
"Acari","A-open-mid","Open","Mid",7
"Acari","A-sycamore-low","Sycamore","Low",6
"Acari","G1-bay-low","Bay","Low",6
"Acari","G1-bay-mid","Bay","Mid",16
"Acari","G1-Loblolly-High","Loblolly","Upper",35
"Acari","G1-loblolly-mid","Loblolly","Mid",23
"Acari","G1-oak-high","Oak","Upper",16
"Acari","G1-oak-mid","Oak","Mid",4
"Acari","G1-open-low","Open","Low",16
"Acari","G1-open-mid","Open","Mid",2
"Acari","G1-open-upper","Open","Upper",7
"Acari","G1-Tulip-low","Tulip-poplar","Low",6
"Acari","G2-bay-mid","Bay","Mid",11
"Acari","G2-loblolly-upper","Loblolly","Upper",12
"Acari","G2-open-low","Open","Low",10
"Acari","G3-hickory-mid","Hickory","Mid",18
"Acari","G3-loblolly-upper","Loblolly","Upper",6
"Acari","G3-open-low","Open","Mid",62
"Acari","G3-open-upper","Open","Upper",4
"Acari","G3-sycamore-low","Sycamore","Low",5
"Acari","T-hickory-mid","Hickory","Mid",16
"Acari","T-oak-low","Oak","Low",19
"Acari","T-oak-upper","Oak","Upper",16
"Acari","T-open-low","Open","Low",7
"Acari","T-open-mid","Open","Mid",7
"Acari","T-open-upper","Open","Upper",9
"Araneae","A-bay-mid","Bay","Mid",4
"Araneae","A-loblolly-mid","Loblolly","Mid",0
"Araneae","A-open-mid","Open","Mid",0
"Araneae","A-sycamore-low","Sycamore","Low",0
"Araneae","G1-bay-low","Bay","Low",1
"Araneae","G1-bay-mid","Bay","Mid",0
"Araneae","G1-Loblolly-High","Loblolly","Upper",0
"Araneae","G1-loblolly-mid","Loblolly","Mid",0
"Araneae","G1-oak-high","Oak","Upper",3
"Araneae","G1-oak-mid","Oak","Mid",3
"Araneae","G1-open-low","Open","Low",0
"Araneae","G1-open-mid","Open","Mid",0
"Araneae","G1-open-upper","Open","Upper",2
"Araneae","G1-Tulip-low","Tulip-poplar","Low",0
"Araneae","G2-bay-mid","Bay","Mid",0
"Araneae","G2-loblolly-upper","Loblolly","Upper",0
"Araneae","G2-open-low","Open","Low",0
"Araneae","G3-hickory-mid","Hickory","Mid",0
"Araneae","G3-loblolly-upper","Loblolly","Upper",0
"Araneae","G3-open-low","Open","Mid",0
"Araneae","G3-open-upper","Open","Upper",1
"Araneae","G3-sycamore-low","Sycamore","Low",0
"Araneae","T-hickory-mid","Hickory","Mid",0
"Araneae","T-oak-low","Oak","Low",0
"Araneae","T-oak-upper","Oak","Upper",0
"Araneae","T-open-low","Open","Low",0
"Araneae","T-open-mid","Open","Mid",3
"Araneae","T-open-upper","Open","Upper",5
"Camponotus","A-bay-mid","Bay","Mid",0
