"transect_id","Transect_Loc","Tree_id","Tree_cat","DBH","Subregion"
1,2.4,"sycamore","hardwood",0.08,"bog"
1,6.5,"dogwood","hardwood",0.1,"bog"
1,7.9,"hickory","hardwood",0.3,"slope"
1,11,"dogwood","hardwood",0.13,"slope"
1,13.7,"loblolly","pine",1,"slope"
1,16.85,"dogwood","hardwood",0.9,"dryhill"
1,26.6,"loblolly","pine",0.8,"dryhill"
1,31.5,"whiteoak","oak",0.4,"dryhill"
1,33.1,"whiteoak","oak",0.33,"dryhill"
2,1.5,"poplar","hardwood",2.5,"bog"
2,7,"bay","other",1.2,"bog"
2,15,"wateroak","oak",0.35,"slope"
2,12.5,"hickory","hardwood",0.11,"slope"
2,29,"whiteoak","oak",0.5,"dryhill"
3,2,"sycamore","hardwood",0.13,"bog"
3,4,"sycamore","hardwood",0.22,"bog"
3,4.3,"wateroak","oak",0.18,"bog"
3,8,"bay","other",0.15,"slope"
3,8.6,"hickory","hardwood",0.18,"slope"
3,6.7,"hickory","hardwood",0.14,"slope"
3,9.6,"hickory","hardwood",0.45,"slope"
3,16.8,"wateroak","oak",0.11,"dryhill"
3,18.1,"wateroak","oak",0.14,"dryhill"
3,19.2,"hickory","hardwood",0.19,"dryhill"
3,22.3,"hickory","hardwood",0.12,"dryhill"
3,23.1,"hickory","hardwood",0.2,"dryhill"
3,25.8,"wateroak","oak",0.71,"dryhill"
3,29.5,"loblolly","pine",1.7,"dryhill"
3,34.1,"wateroak","oak",1.01,"dryhill"
